iso,name,co2,share,historical,renewable,gdpLoss,deaths,deathsSrc,city,pm25,citySrc,pm25nat,pm25natSrc,status
AUS,Australia,0.39 Gt,1.1%,1.1%,35%,0.3% GDP,"3,598","WHO, 2021",,,,,,"The world's highest rooftop solar per person and an accelerating grid transition, but also a major coal and gas exporter facing worsening bushfires, including the January 2026 Victorian fires."
BGD,Bangladesh,0.12 Gt,0.3%,0.1%,5%,1.5 to 2% GDP,"73,416","WHO, 2021",Dhaka,68.0,"IQAir, 2025",,,A world leader in community level adaptation despite minimal resources and near zero historical responsibility. Absorbs heavy losses from floods and cyclones every year.
BRA,Brazil,0.47 Gt,1.3%,1.3%,89%,0.5% GDP,"88,548","WHO, 2021",,,,,,"One of the cleanest power grids in the world, but land use and deforestation drive large emissions. Amazon deforestation has fallen sharply since 2023, while 2024 drought fuelled the largest Amazon fires since 2005."
CAN,Canada,0.54 Gt,1.5%,2%,67%,0.3% GDP,"7,657","WHO, 2021","Flin Flon, Manitoba",24.0,"IQAir, 2025",,,"A largely clean grid from hydro, but among the highest emissions per person in the world due to oil sands production, which continues to expand. Wildfire seasons are worsening dramatically."
CHN,China,11.4 Gt,31%,14%,31%,0.5 to 1% GDP,"1,284,182","WHO, 2021",Hotan,109.6,"IQAir, 2025",,,"Installs more solar and wind than the rest of the world combined and leads global EV production. But it still builds new coal plants and remains the largest emitter by far. The direction is right, the pace is contested."
DNK,Denmark,0.028 Gt,0.08%,0.3%,87%,0.1% GDP,"1,558","WHO, 2021",,,,8.2,"IQAir, 2025 national average","A global pioneer of offshore wind with one of the most ambitious 2030 targets anywhere, and an exporter of clean energy expertise worldwide."
EGY,Egypt,0.25 Gt,0.7%,0.5%,12%,0.5% GDP,"63,479","WHO, 2021",Cairo,40.8,"IQAir, 2025",,,"Hosted COP27 and champions African climate finance, but its own grid remains gas dominated. The Nile Delta is highly exposed to sea level rise."
ETH,Ethiopia,0.02 Gt,0.06%,0.1%,99%,3 to 5% GDP,"24,517","WHO, 2021",,,,,,"Nearly all electricity is renewable, mostly hydropower. One of the lowest emitting nations on Earth, yet repeatedly hit by drought and food insecurity affecting millions."
FRA,France,0.28 Gt,0.8%,2.3%,27%,0.15% GDP,"17,236","WHO, 2021",,,,9.6,"IQAir, 2025 national average","A low carbon grid thanks to nuclear power, with growing wind and solar. Faced severe heatwaves in 2026. Renewable expansion has been slower than in Germany or Spain."
DEU,Germany,0.6 Gt,1.7%,5.5%,52%,0.2% GDP,"39,017","WHO, 2021",,,,9.4,"IQAir, 2025 national average",Over half of electricity now comes from renewables and coal is being phased out. A significant climate finance contributor with one of the earlier net zero targets among major economies.
IND,India,,8%,3.5%,,1.5 to 2%,"936,093","WHO, 2021",Loni,112.5,"IQAir, 2025",,,"Massive solar expansion and among the cheapest solar power in the world. Coal still dominates and emissions rise with growth, but emissions per person remain far below Western levels. Highly exposed to heat and floods."
IDN,Indonesia,0.47 Gt,1.3%,1.2%,19%,1 to 2% GDP,"103,142","WHO, 2021",South Tangerang,51.5,"IQAir, 2025",,,"Coal supplies about 60 percent of electricity and deforestation remains significant, factors that worsened the deadly December 2025 floods. A 20 billion dollar Just Energy Transition Partnership targets its coal fleet."
ITA,Italy,0.31 Gt,0.85%,2%,39%,0.3% GDP,"30,265","WHO, 2021",,,,13.3,"IQAir, 2025 national average","Strong solar base and a coal phase out nearly complete. The Mediterranean region is a climate hotspot, exposing Italy to severe heat, drought and flooding."
JPN,Japan,1.0 Gt,3%,4%,24%,0.4% GDP,"50,584","WHO, 2021",,,,,,"Emissions are declining and solar has expanded significantly, but Japan remains heavily reliant on imported coal and gas. Its hydrogen investment is world leading."
KEN,Kenya,0.02 Gt,0.06%,0.1%,90%,2 to 4% GDP,"8,792","WHO, 2021",Kisumu,18.5,"IQAir, 2025",,,"About 90 percent renewable electricity, led by world class geothermal. One of the cleanest grids anywhere, in a country facing severe recurring drought it did almost nothing to cause."
MEX,Mexico,0.43 Gt,1.2%,1.3%,25%,0.5% GDP,"36,305","WHO, 2021",,,,,,"Large untapped solar and wind potential. October 2025 floods killed at least 66 people and damaged over 16,000 homes across five states. Targets are widely judged insufficient."
MAR,Morocco,0.075 Gt,0.2%,0.1%,38%,0.5 to 1% GDP,"17,606","WHO, 2021",,,,,,Home to some of the world's largest solar complexes and among the most ambitious climate plans in Africa. December 2025 flash floods in Safi killed at least 37 people.
NLD,Netherlands,0.13 Gt,0.4%,1%,48%,0.5% GDP,"4,781","WHO, 2021",,,,9.7,"IQAir, 2025 national average",Rapid offshore wind growth has lifted renewables to nearly half of generation. As a low lying nation it faces existential sea level exposure despite its wealth.
NGA,Nigeria,0.13 Gt,0.35%,0.5%,19%,1 to 2% GDP,"106,962","WHO, 2021",Port Harcourt,13.0,"IQAir, 2025",,,"Africa's largest economy faces drought in the north and flooding in the south. Off grid solar is expanding fast, but the economy remains oil dependent."
NOR,Norway,0.037 Gt,0.1%,0.3%,98%,0.1% GDP,730,"WHO, 2021",,,,6.2,"IQAir, 2025 national average","Nearly all electricity is renewable and EV adoption is the highest in the world. But Norway is also one of the largest oil and gas exporters, a contradiction at the heart of its climate record."
PAK,Pakistan,0.24 Gt,0.65%,0.4%,33%,3 to 5% GDP in flood years,"118,647","WHO, 2021",Faisalabad,98.8,"IQAir, 2025",,,"Emits under one percent of global CO2 yet suffers some of the worst climate impacts on Earth, from the 2022 floods to repeated extreme heat. A frontline case for loss and damage finance."
PHL,Philippines,0.15 Gt,0.4%,0.3%,31%,1 to 3% GDP,"60,974","WHO, 2021",Pasay,42.0,"IQAir, 2025",,,Sits in the world's most active typhoon corridor. Super Typhoon Fung-wong displaced over a million people in November 2025. Consistently among the most climate vulnerable nations despite minimal emissions.
POL,Poland,0.29 Gt,0.8%,2%,27%,0.2% GDP,"35,297","WHO, 2021",,,,15.4,"IQAir, 2025 national average","Still the most coal reliant large economy in Europe, though solar has grown quickly. Frequently resists stronger EU climate ambition."
RUS,Russia,1.9 Gt,5%,7%,20%,0.3% GDP,"98,014","WHO, 2021",,,,,,"The world's second largest fossil fuel exporter with weak, largely unenforced climate targets and minimal renewable investment outside hydropower."
SAU,Saudi Arabia,0.51 Gt,1.4%,1.1%,1%,0.2% GDP,"5,301","WHO, 2021",,,,,,"The world's largest oil exporter and among the highest emitters per person. Renewable projects exist under Vision 2030, but largely to free up oil for export."
ZAF,South Africa,0.4 Gt,1.1%,1.3%,12%,1% GDP,"20,667","WHO, 2021",Umkomaas,43.3,"IQAir, 2025",,,"Africa's largest emitter, with about 85 percent coal power and a chronic electricity crisis. The 8.5 billion dollar Just Energy Transition Partnership aims to accelerate its coal exit."
KOR,South Korea,0.6 Gt,1.7%,1.4%,9%,0.3% GDP,"17,899","WHO, 2021",Daegu,29.5,"IQAir, 2025 (lower confidence)",,,A technology powerhouse with one of the lowest renewable shares in the developed world. Heavy reliance on coal and gas persists despite net zero pledges.
ESP,Spain,0.22 Gt,0.6%,1.4%,50%,0.3% GDP,"13,030","WHO, 2021",,,,9.1,"IQAir, 2025 national average","Half of electricity now comes from renewables and coal has essentially been retired. Also on the front line of European heat, with record May 2026 temperatures."
LKA,Sri Lanka,0.02 Gt,0.06%,0.05%,52%,1 to 2% GDP,"9,674","WHO, 2021",Akurana,24.0,"IQAir, 2025",,,"Cyclone Ditwah killed at least 56 people in late 2025 amid economic crisis. Over half of electricity already comes from renewables, led by hydro."
SWE,Sweden,0.037 Gt,0.1%,0.4%,69%,0.1% GDP,"1,554","WHO, 2021",,,,5.5,"IQAir, 2025 national average","One of the cleanest grids in the world from hydro, wind and nuclear, and among the lowest emitters per person of any developed nation."
THA,Thailand,0.28 Gt,0.75%,0.6%,16%,1% GDP,"30,517","WHO, 2021",Mae Rim,44.7,"IQAir, 2025",,,December 2025 floods killed at least 276 people across fourteen provinces. Renewable growth is slow and gas dominates the power mix.
TUR,Turkey,0.44 Gt,1.2%,1.2%,42%,0.4% GDP,"39,835","WHO, 2021",Igdir,64.4,"IQAir, 2025",,,"Strong hydro and rapidly growing solar and wind, but coal capacity is still expanding. Exposed to Mediterranean heat and drought."
TUV,Tuvalu,1e-05 Gt,0%,0%,45%,Existential,,,,,,,,"Emits roughly 12,000 tonnes of CO2 a year, essentially zero, yet may become uninhabitable by 2050. Has signed a treaty with Australia to preserve its statehood as its land is lost."
UKR,Ukraine,0.15 Gt,0.4%,1.5%,12%,War compounded,"56,596","WHO, 2021",Kyiv,10.0,"IQAir, 2025",,,"Climate policy has been overtaken by war, which has itself caused enormous emissions and environmental damage. Reconstruction plans centre on clean energy."
ARE,United Arab Emirates,0.24 Gt,0.65%,0.4%,7%,0.2% GDP,989,"WHO, 2021",Ruwais,43.3,"IQAir, 2025",,,"Hosted COP28 and invests heavily in solar at home, yet remains a major oil exporter with among the highest emissions per person in the world."
GBR,United Kingdom,0.3 Gt,0.9%,4.6%,47%,0.1% GDP,"19,798","WHO, 2021",,,,8.7,"IQAir, 2025 national average","A world leader in offshore wind with emissions down roughly 50 percent since 1990, and coal power ended in 2024. High historical responsibility as the birthplace of industrialisation."
USA,United States,5.0 Gt,14%,25%,23%,0.3 to 0.5% GDP,"104,799","WHO, 2021","East Los Angeles, CA",24.0,"IQAir, 2025",,,"The largest historical emitter withdrew from the Paris Agreement in January 2026 and rolled back major clean energy policies. Some states and companies continue ambitious action, but national policy has moved backwards."
VNM,Vietnam,0.34 Gt,0.9%,0.4%,43%,1 to 2% GDP,"43,365","WHO, 2021",Thai Nguyen,56.4,"IQAir, 2025",,,"A remarkable solar boom made Vietnam a regional clean energy leader almost overnight, though coal remains large. The Mekong Delta faces severe sea level and salinity threats."
